image_path,x1,y1,x2,y2,score
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,248.52077,802.69934,308.42252,863.6193,0.99520206
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,886.4254,788.1571,946.78564,848.4158,0.97579694
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.76.tif,433.7757,113.35247,493.28357,173.1007,0.99979347
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.76.tif,46.264378,646.77747,106.915016,707.29974,0.9997384
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,34.97564,498.66516,95.09407,558.81305,0.99992263
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,117.42218,180.32881,177.57477,240.30467,0.99977416
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,435.19855,389.01688,494.69498,449.29337,0.9989318
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,132.77103,787.67737,192.80602,847.5858,0.99766636
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,495.37354,729.3745,555.51074,790.03064,0.9972972
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,199.94905,813.85645,259.962,873.8337,0.994457
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,154.903,797.5769,211.53308,857.8456,0.71201307
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.89.tif,178.63701,805.0053,237.92596,863.989,0.6571015
